0 0
-0.588006 0.808856
-0.304448 1.76781
0.574619 2.24451
1.34823 2.87817
1.25401 1.88262
0.360394 1.43379
-0.614791 1.65518
-1.29933 2.38416
-0.333852 2.64465
0.595519 3.0138

0 0
-0.920661 0.390362
-1.89635 0.609507
-1.0017 1.05626
-1.6727 1.79772
-2.28424 2.58894
-1.9081 1.66237
-2.72878 1.09099
-1.73967 1.23817
-1.22917 0.37829
-1.97606 1.04325

0 0
-0.972381 -0.2334
-1.42703 0.65727
-1.95971 1.50359
-2.91207 1.80858
-1.96209 1.49625
-1.81372 2.48518
-2.64472 1.9289
-2.72594 2.9256
-3.29461 2.10303
-2.90086 3.02225

0 0
-0.959201 -0.282726
-0.368913 0.524467
0.239544 1.31805
0.0103207 2.29143
-0.443832 1.4005
-1.05606 0.609825
-0.164424 0.157077
0.581404 -0.509061
1.49271 -0.0973355
2.30485 0.486126
